row/col,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
"0","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense"
"1","tree_dense","tree_dense","tree_dense","tree","tree_dense","tree_dense","tree","tree_dense","tree_dense","tree","tree_dense","tree_dense","tree","tree_dense","tree_dense","tree","tree_dense","tree_dense","tree","tree_dense","tree_dense","tree","tree_dense","tree_dense","tree","tree_dense","tree_dense","tree","tree_dense","tree_dense","tree","tree_dense","tree_dense","tree","tree_dense","tree_dense","tree","tree_dense","tree_dense","tree","tree_dense","tree_dense","tree","tree_dense","tree_dense","tree","tree_dense","tree_dense","tree","tree_dense","tree_dense","tree_dense"
"2","tree_dense","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","tree_dense"
"3","tree_dense","grass","grass","grass","HOUSE_1","HOUSE_1","HOUSE_1","grass","grass","grass","tilled_soil","tilled_soil","tilled_soil","tilled_soil","tilled_soil","tilled_soil","grass","grass","grass","grass","grass","grass","grass","wildflowers","grass","wildflowers","grass","grass","grass","grass","grass","grass","grass","grass","grass","lavender","lavender","lavender","lavender","lavender","lavender","lavender","grass","grass","grass","grass","grass","grass","grass","grass","grass","tree_dense"
"4","tree_dense","grass","grass","grass","HOUSE_1","HOUSE_1","HOUSE_1","grass","grass","grass","tilled_soil","crop_seedling","crop_seedling","crop_seedling","crop_seedling","tilled_soil","wildflowers","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","fallen_leaves","lavender","lavender","lavender","lavender","lavender","lavender","lavender","grass","grass","grass","HOUSE_2","HOUSE_2","HOUSE_2","grass","grass","grass","tree_dense"
"5","tree_dense","grass","grass","grass","HOUSE_1","HOUSE_1","HOUSE_1","grass","grass","wildflowers","tilled_soil","tilled_soil","tilled_soil","tilled_soil","tilled_soil","tree","grass","grass","grass","grass","fallen_leaves","grass","grass","grass","grass","grass","grass","grass","grass","grass","stone","wildflowers","grass","wildflowers","grass","lavender","lavender","lavender","lavender","lavender","lavender","lavender","grass","grass","grass","HOUSE_2","HOUSE_2","HOUSE_2","grass","fallen_leaves","grass","tree_dense"
"6","tree_dense","grass","grass","grass","grass","path","path","path","path","path","path","crop_bloom","tree","tree","tree","tree","tree","tree","tree","path","path","path","path","path","path","path","path","grass","grass","grass","grass","fallen_leaves","grass","fallen_leaves","grass","grass","grass","grass","tree","grass","grass","grass","fallen_leaves","grass","grass","HOUSE_2","HOUSE_2","HOUSE_2","grass","fallen_leaves","grass","tree_dense"
"7","tree_dense","grass","grass","grass","grass","grass","grass","path","path","path","path","tree","tree","tree","tree","tree","tree","tree","tree","tree","path","path","path","path","path","path","path","path","path","path","path","path","path","path","path","tree","tree","tree","tree","tree","tree","tree","wildflowers","path","path","path","path","path","path","grass","grass","tree_dense"
"8","tree_dense","grass","grass","fallen_leaves","wildflowers","grass","wildflowers","grass","wildflowers","grass","grass","tree","tree","tree","tree","tree","tree","fallen_leaves","grass","tree","grass","grass","grass","grass","grass","path","path","path","path","path","path","path","path","path","grass","grass","tree","tree","tree","tree","tree","tree","tree","path","path","path","path","grass","fallen_leaves","grass","grass","tree_dense"
"9","tree_dense","grass","grass","grass","grass","grass","grass","grass","grass","grass","tree","tree","tree","tree","tree","tree","tree","grass","grass","tree","PACKAGE_1","grass","fallen_leaves","fallen_leaves","fallen_leaves","fallen_leaves","fallen_leaves","fallen_leaves","fallen_leaves","fallen_leaves","grass","stone","grass","grass","grass","grass","tree","tree","tree","tree","tree","tree","tree","grass","grass","grass","grass","wildflowers","fallen_leaves","grass","grass","tree_dense"
